Warehouse_ID,Warehouse_Location,Product_ID,Initial_Inventory,Remaining_Inventory,Date
W001,New Delhi,P002,118579,118305,03-04-2023
W002,Lucknow,P002,73046,71279,03-04-2023
W003,Chandigarh,P002,86780,86317,03-04-2023
W001,New Delhi,P003,112240,111776,03-04-2023
W002,Lucknow,P003,71795,70511,03-04-2023
W003,Chandigarh,P003,84585,84382,03-04-2023
W001,New Delhi,P004,113861,113627,03-04-2023
W002,Lucknow,P004,70202,68806,03-04-2023
W003,Chandigarh,P004,87972,87192,03 04 2023
W001,New Delhi,P005,114173,113906,03-04-2023
W002,Lucknow,P005,68112,68112,03-04-2023
W003,Chandigarh,P005,86525,85997,03-04-2023
W001,New Delhi,P006,115907,115907,03-04-2023
W002,Lucknow,P006,69333,68319,03-04-2023
W003,Chandigarh,P006,84648,83492,03-04-2023
W001,New Delhi,P001,114315,114315,04-04-2023
W002,Lucknow,P001,73078,72159,04-04-2023
W003,Chandigarh,P001,84144,83410,04-04-2023
W001,New Delhi,P002,119865,119569,04-04-2023
W002,Lucknow,P002,72839,72346,04-04-2023
W003,Chandigarh,P002,87876,87380,04-04-2023
W001,New Delhi,P003,113299,113299,04-04-2023
W002,Lucknow,P003,72034,70432,04-04-2023
W003,Chandigarh,P003,85904,84526,04-04-2023
W001,New Delhi,P004,114808,114574,04-04-2023
W002,Lucknow,P004,69986,69498,04 04 2023
W003,Chandigarh,P004,88372,87344,04-04-2023
W001,New Delhi,P005,115182,115182,04-04-2023
W002,Lucknow,P005,69388,68875,04-04-2023
W003,Chandigarh,P005,87273,86266,04-04-2023
W001,New Delhi,P006,117060,116560,04-04-2023
W002,Lucknow,P006,69471,68025,04-04-2023
W003,Chandigarh,P006,84644,83354,04-04-2023
W001,New Delhi,P001,115546,115275,05-04-2023
W002,Lucknow,P001,73389,72410,05-04-2023
W003,Chandigarh,P001,84640,84145,05-04-2023
W001,New Delhi,P002,120924,120358,05-04-2023
W002,Lucknow,P002,73701,73451,05-04-2023
W003,Chandigarh,P002,88735,87641,05-04-2023
W001,New Delhi,P003,114440,114440,05-04-2023
W002,Lucknow,P003,71572,69375,05-04-2023
W003,Chandigarh,P003,85666,84129,05-04-2023
W001,New Delhi,P004,115908,115908,05-04-2023
W002,Lucknow,P004,70832,69785,05-04-2023
W003,Chandigarh,P004,88678,87618,05-04-2023
W001,New Delhi,P005,116203,116203,05-04-2023
W002,Lucknow,P005,69895,68664,05-04-2023
W003,Chandigarh,P005,87286,85863,05-04-2023
W001,New Delhi,P006,117775,117775,05-04-2023
W002,Lucknow,P006,69240,67922,05-04-2023
W003,Chandigarh,P006,84568,84061,05-04-2023
W001,New Delhi,P001,116373,116134,06-04-2023
W002,Lucknow,P001,73508,72350,06-04-2023
W003,Chandigarh,P001,85242,84733,06-04-2023
W001,New Delhi,P002,121493,121493,06-04-2023
W002,Lucknow,P002,74586,73812,06-04-2023
W003,Chandigarh,P002,88775,88257,06-04-2023
W001,New Delhi,P003,115579,115579,06-04-2023
W002,Lucknow,P003,70514,69559,06-04-2023
W003,Chandigarh,P003,85267,84628,06-04-2023
W001,New Delhi,P004,117449,117449,06-04-2023
W002,Lucknow,P004,71326,70410,06-04-2023
W003,Chandigarh,P004,89158,87648,06-04-2023
W001,New Delhi,P005,117860,117860,06-04-2023
W002,Lucknow,P005,70320,68749,06-04-2023
W003,Chandigarh,P005,87519,86064,06-04-2023
W001,New Delhi,P006,118932,118932,06-04-2023
W002,Lucknow,P006,69079,67854,06-04-2023
W003,Chandigarh,P006,85217,84444,06-04-2023
W001,New Delhi,P001,117264,116985,07-04-2023
W002,Lucknow,P001,73480,72825,07-04-2023
W003,Chandigarh,P001,85863,85398,07-04-2023
W001,New Delhi,P002,122908,122908,07-04-2023
W002,Lucknow,P002,75226,74198,07-04-2023
W003,Chandigarh,P002,89671,89671,07-04-2023
W001,New Delhi,P003,116897,116897,07-04-2023
W002,Lucknow,P003,70877,70067,07-04-2023
W003,Chandigarh,P003,85945,84921,07-04-2023
W001,New Delhi,P004,118549,117801,07-04-2023
W002,Lucknow,P004,71510,70184,07-04-2023
W003,Chandigarh,P004,88748,88495,07-04-2023
W001,New Delhi,P005,118863,118863,07-04-2023
W002,Lucknow,P005,69751,68946,07-04-2023
W003,Chandigarh,P005,87066,86204,07-04-2023
W001,New Delhi,P006,119950,119167,07-04-2023
W002,Lucknow,P006,68872,68371,07-04-2023
W003,Chandigarh,P006,85461,84485,07-04-2023
W001,New Delhi,P001,118113,118113,08-04-2023
W002,Lucknow,P001,73953,73127,08-04-2023
W003,Chandigarh,P001,86526,86016,08-04-2023
W001,New Delhi,P002,124069,123489,08-04-2023
W002,Lucknow,P002,75359,73527,08-04-2023
W003,Chandigarh,P002,90832,89142,08-04-2023
W001,New Delhi,P003,118406,118185,08-04-2023
W002,Lucknow,P003,71575,70025,08-04-2023
W003,Chandigarh,P003,86429,85406,08-04-2023
W001,New Delhi,P004,119380,119380,08-04-2023
W002,Lucknow,P004,71763,70624,08-04-2023
W003,Chandigarh,P004,90073,88343,08-04-2023
W001,New Delhi,P005,120035,120035,08-04-2023
W002,Lucknow,P005,70118,69045,08-04-2023
W003,Chandigarh,P005,87376,86650,08-04-2023
W001,New Delhi,P006,120630,120425,08-04-2023
W002,Lucknow,P006,69834,68818,08-04-2023
W003,Chandigarh,P006,85947,85476,08-04-2023
W001,New Delhi,P001,119645,119434,09-04-2023
W002,Lucknow,P001,74658,73230,09-04-2023
W003,Chandigarh,P001,87547,86349,09-04-2023
W001,New Delhi,P002,124940,124940,09-04-2023
W002,Lucknow,P002,74977,74162,09-04-2023
W003,Chandigarh,P002,90592,90309,09-04-2023
W001,New Delhi,P003,119821,119618,09-04-2023
W002,Lucknow,P003,71660,70338,09-04-2023
W003,Chandigarh,P003,87041,86745,09-04-2023
W001,New Delhi,P004,120919,120919,09-04-2023
W002,Lucknow,P004,72163,70869,09-04-2023
W003,Chandigarh,P004,89881,89343,09-04-2023
W001,New Delhi,P005,121144,121144,09-04-2023
W002,Lucknow,P005,70153,69260,09-04-2023
W003,Chandigarh,P005,87758,87758,09-04-2023
W001,New Delhi,P006,121801,121574,09-04-2023
W002,Lucknow,P006,70194,69149,09-04-2023
W003,Chandigarh,P006,86851,86606,09-04-2023
W001,New Delhi,P001,120737,120737,10-04-2023
W002,Lucknow,P001,74532,73741,10-04-2023
W003,Chandigarh,P001,87651,87205,10-04-2023
W001,New Delhi,P002,126103,126103,10-04-2023
W002,Lucknow,P002,75325,74874,10-04-2023
W003,Chandigarh,P002,91471,90487,10-04-2023
W001,New Delhi,P003,121215,121215,10-04-2023
W002,Lucknow,P003,71935,71445,10-04-2023
W003,Chandigarh,P003,88342,87840,10-04-2023
W001,New Delhi,P004,122188,121452,10-04-2023
W002,Lucknow,P004,72138,70879,10-04-2023
W003,Chandigarh,P004,90611,89870,10-04-2023
W001,New Delhi,P005,122346,121563,10-04-2023
W002,Lucknow,P005,70461,68655,10-04-2023
W003,Chandigarh,P005,88959,87701,10-04-2023
W001,New Delhi,P006,122938,122938,10-04-2023
W002,Lucknow,P006,70513,69517,10-04-2023
W003,Chandigarh,P006,87969,86700,10-04-2023
W001,New Delhi,P001,121888,121888,11-04-2023
W002,Lucknow,P001,74891,74080,11-04-2023
W003,Chandigarh,P001,88355,88091,11-04-2023
W001,New Delhi,P002,127651,127385,11-04-2023
W002,Lucknow,P002,76422,74591,11-04-2023
W003,Chandigarh,P002,92035,91020,11-04-2023
W001,New Delhi,P003,122797,122497,11-04-2023
W002,Lucknow,P003,73026,72331,11-04-2023
W003,Chandigarh,P003,89421,89189,11-04-2023
W001,New Delhi,P004,122720,122426,11-04-2023
W002,Lucknow,P004,72146,71090,11-04-2023
W003,Chandigarh,P004,91137,90650,11-04-2023
W001,New Delhi,P005,122725,122725,11-04-2023
W002,Lucknow,P005,69817,68265,11-04-2023
W003,Chandigarh,P005,88863,88382,11-04-2023
W001,New Delhi,P006,124022,123758,11-04-2023
W002,Lucknow,P006,70600,69308,11-04-2023
W003,Chandigarh,P006,87783,87030,11-04-2023
W001,New Delhi,P001,123530,123249,12-04-2023
W002,Lucknow,P001,75722,74285,12-04-2023
W003,Chandigarh,P001,89733,89029,12-04-2023
W001,New Delhi,P002,128871,128615,12-04-2023
W002,Lucknow,P002,76077,75827,12-04-2023
W003,Chandigarh,P002,92506,90999,12-04-2023
W001,New Delhi,P003,124120,124120,12-04-2023
W002,Lucknow,P003,73953,73737,12-04-2023
W003,Chandigarh,P003,90811,89908,12-04-2023
W001,New Delhi,P004,123874,123639,12-04-2023
W002,Lucknow,P004,72538,71067,12-04-2023
W003,Chandigarh,P004,92097,90538,12-04-2023
W001,New Delhi,P005,123879,123879,12-04-2023
W002,Lucknow,P005,69419,68206,12-04-2023
W003,Chandigarh,P005,89535,88791,12-04-2023
W001,New Delhi,P006,125095,124857,12-04-2023
W002,Lucknow,P006,70645,69334,12-04-2023
W003,Chandigarh,P006,88367,87045,12-04-2023
W001,New Delhi,P001,124580,124120,13-04-2023
W002,Lucknow,P001,75616,74830,13-04-2023
W003,Chandigarh,P001,90359,89398,13-04-2023
W001,New Delhi,P002,129616,129616,13-04-2023
W002,Lucknow,P002,76828,75814,13-04-2023
W003,Chandigarh,P002,92000,91071,13-04-2023
W001,New Delhi,P003,125260,124963,13-04-2023
W002,Lucknow,P003,74876,74179,13-04-2023
W003,Chandigarh,P003,91047,90098,13-04-2023
W001,New Delhi,P004,125205,124953,13-04-2023
W002,Lucknow,P004,72632,71238,13-04-2023
W003,Chandigarh,P004,92103,91326,13-04-2023
W001,New Delhi,P005,125097,124864,13-04-2023
W002,Lucknow,P005,69424,68928,13-04-2023
W003,Chandigarh,P005,90008,89128,13-04-2023
W001,New Delhi,P006,126093,126093,13-04-2023
W002,Lucknow,P006,70570,69501,13-04-2023
W003,Chandigarh,P006,88281,87351,13-04-2023
W001,New Delhi,P001,125343,125343,14-04-2023
W002,Lucknow,P001,76053,74343,14-04-2023
W003,Chandigarh,P001,90620,90328,14-04-2023
W001,New Delhi,P002,131195,130957,14-04-2023
W002,Lucknow,P002,77393,76208,14-04-2023
W003,Chandigarh,P002,92649,92649,14-04-2023
W001,New Delhi,P003,126540,126540,14-04-2023
W002,Lucknow,P003,75756,75511,14-04-2023
W003,Chandigarh,P003,91674,90253,14-04-2023
W001,New Delhi,P004,126598,126598,14-04-2023
W002,Lucknow,P004,72883,71340,14-04-2023
W003,Chandigarh,P004,92971,92679,14-04-2023
W001,New Delhi,P005,126428,126213,14-04-2023
W002,Lucknow,P005,70492,69208,14-04-2023
W003,Chandigarh,P005,90691,89246,14-04-2023
W001,New Delhi,P006,127664,127664,14-04-2023
W002,Lucknow,P006,71072,69584,14-04-2023
W003,Chandigarh,P006,88921,87677,14-04-2023
W001,New Delhi,P001,126413,125870,15-04-2023
W002,Lucknow,P001,75412,74429,15-04-2023
W003,Chandigarh,P001,91397,89563,15-04-2023
W001,New Delhi,P002,132597,132597,15-04-2023
W002,Lucknow,P002,77848,76807,15-04-2023
W003,Chandigarh,P002,94288,93549,15-04-2023
W001,New Delhi,P003,127811,127811,15-04-2023
W002,Lucknow,P003,76781,75285,15-04-2023
W003,Chandigarh,P003,91523,90223,15-04-2023
W001,New Delhi,P004,127887,127632,15-04-2023
W002,Lucknow,P004,72629,71306,15-04-2023
W003,Chandigarh,P004,93967,93508,15-04-2023
W001,New Delhi,P005,127793,127793,15-04-2023
W002,Lucknow,P005,70788,70291,15-04-2023
W003,Chandigarh,P005,90825,90331,15-04-2023
W001,New Delhi,P006,128845,128576,15-04-2023
W002,Lucknow,P006,70764,69995,15-04-2023
W003,Chandigarh,P006,88857,88209,15-04-2023
W001,New Delhi,P001,127067,126792,16-04-2023
W002,Lucknow,P001,75626,74098,16-04-2023
W003,Chandigarh,P001,90760,89477,16-04-2023
W001,New Delhi,P002,133988,133988,16-04-2023
W002,Lucknow,P002,78198,77217,16-04-2023
W003,Chandigarh,P002,94940,94421,16-04-2023
W001,New Delhi,P003,129098,129098,16-04-2023
W002,Lucknow,P003,76572,74765,16-04-2023
W003,Chandigarh,P003,91510,91029,16-04-2023
W001,New Delhi,P004,129174,129174,16-04-2023
W002,Lucknow,P004,72848,71806,16-04-2023
W003,Chandigarh,P004,95050,94826,16-04-2023
W001,New Delhi,P005,128993,128734,16-04-2023
W002,Lucknow,P005,71491,69952,16-04-2023
W003,Chandigarh,P005,91530,90827,16-04-2023
W001,New Delhi,P006,129667,129427,16-04-2023
W002,Lucknow,P006,71086,69341,16-04-2023
W003,Chandigarh,P006,89300,88827,16-04-2023
W001,New Delhi,P001,128030,128030,17-04-2023
W002,Lucknow,P001,75335,74520,17-04-2023
W003,Chandigarh,P001,90714,90197,17-04-2023
W001,New Delhi,P002,135655,135655,17-04-2023
W002,Lucknow,P002,78884,77872,17-04-2023
W003,Chandigarh,P002,96087,95573,17-04-2023
W001,New Delhi,P003,130459,130208,17-04-2023
W002,Lucknow,P003,76126,75185,17-04-2023
W003,Chandigarh,P003,92390,91614,17-04-2023
W001,New Delhi,P004,130216,130216,17-04-2023
W002,Lucknow,P004,72848,70922,17-04-2023
W003,Chandigarh,P004,95867,94785,17-04-2023
W001,New Delhi,P005,129809,129809,17-04-2023
W002,Lucknow,P005,71026,69286,17-04-2023
W003,Chandigarh,P005,91901,90917,17-04-2023
W001,New Delhi,P006,131071,130797,17-04-2023
W002,Lucknow,P006,70985,70023,17-04-2023
W003,Chandigarh,P006,90470,88990,17-04-2023
W001,New Delhi,P001,129618,129618,18-04-2023
W002,Lucknow,P001,76107,74292,18-04-2023
W003,Chandigarh,P001,91784,91784,18-04-2023
W001,New Delhi,P002,137076,137076,18-04-2023
W002,Lucknow,P002,79292,77225,18-04-2023
W003,Chandigarh,P002,96993,96446,18-04-2023
W001,New Delhi,P003,131252,131029,18-04-2023
W002,Lucknow,P003,76228,73927,18-04-2023
W003,Chandigarh,P003,92657,90749,18-04-2023
W001,New Delhi,P004,131259,130749,18-04-2023
W002,Lucknow,P004,71965,70205,18-04-2023
W003,Chandigarh,P004,95827,95827,18-04-2023
W001,New Delhi,P005,131059,130781,18-04-2023
W002,Lucknow,P005,70536,69380,18-04-2023
W003,Chandigarh,P005,92167,91670,18-04-2023
W001,New Delhi,P006,132002,132002,18-04-2023
W002,Lucknow,P006,71228,70304,18-04-2023
W003,Chandigarh,P006,90195,89694,18-04-2023
W001,New Delhi,P001,131091,130575,19-04-2023
W002,Lucknow,P001,75764,75048,19-04-2023
W003,Chandigarh,P001,93256,92531,19-04-2023
W001,New Delhi,P002,138625,138625,19-04-2023
W002,Lucknow,P002,78773,77023,19-04-2023
W003,Chandigarh,P002,97994,97131,19-04-2023
W001,New Delhi,P003,132167,132167,19-04-2023
W002,Lucknow,P003,75065,74304,19-04-2023
W003,Chandigarh,P003,91887,91069,19-04-2023
W001,New Delhi,P004,132363,132363,19-04-2023
W002,Lucknow,P004,71819,71819,19-04-2023
W003,Chandigarh,P004,97441,96954,19-04-2023
W001,New Delhi,P005,132254,131220,19-04-2023
W002,Lucknow,P005,70853,69588,19-04-2023
W003,Chandigarh,P005,93142,92399,19-04-2023
W001,New Delhi,P006,133646,133158,19-04-2023
W002,Lucknow,P006,71948,70973,19-04-2023
W003,Chandigarh,P006,91337,90556,19-04-2023
W001,New Delhi,P001,131637,130853,20-04-2023
W002,Lucknow,P001,76110,75170,20-04-2023
W003,Chandigarh,P001,93593,92913,20-04-2023
W001,New Delhi,P002,139937,139662,20-04-2023
W002,Lucknow,P002,78335,77390,20-04-2023
W003,Chandigarh,P002,98442,97634,20-04-2023
W001,New Delhi,P003,133322,132886,20-04-2023
W002,Lucknow,P003,75458,74695,20-04-2023
W003,Chandigarh,P003,92223,91532,20-04-2023
W001,New Delhi,P004,133393,133393,20-04-2023
W002,Lucknow,P004,72849,71143,20-04-2023
W003,Chandigarh,P004,97983,97983,20-04-2023
W001,New Delhi,P005,132842,132842,20-04-2023
W002,Lucknow,P005,71209,70224,20-04-2023
W003,Chandigarh,P005,94020,92139,20-04-2023
W001,New Delhi,P006,134676,134376,20-04-2023
W002,Lucknow,P006,72491,71744,20-04-2023
W003,Chandigarh,P006,92073,91825,20-04-2023
W001,New Delhi,P001,132016,131541,21-04-2023
W002,Lucknow,P001,76333,75364,21-04-2023
W003,Chandigarh,P001,94076,93378,21-04-2023
W001,New Delhi,P002,141218,141218,21-04-2023
W002,Lucknow,P002,78946,77678,21-04-2023
W003,Chandigarh,P002,99189,98248,21-04-2023
W001,New Delhi,P003,133925,133658,21-04-2023
W002,Lucknow,P003,75734,75200,21-04-2023
W003,Chandigarh,P003,92571,92005,21-04-2023
W001,New Delhi,P004,134454,134190,21-04-2023
W002,Lucknow,P004,72204,71635,21-04-2023
W003,Chandigarh,P004,99044,97761,21-04-2023
W001,New Delhi,P005,134079,133650,21-04-2023
W002,Lucknow,P005,71461,70049,21-04-2023
W003,Chandigarh,P005,93376,92358,21-04-2023
W001,New Delhi,P006,135770,135525,21-04-2023
W002,Lucknow,P006,73137,72550,21-04-2023
W003,Chandigarh,P006,93218,92475,21-04-2023
W001,New Delhi,P001,133173,133173,22-04-2023
W002,Lucknow,P001,76995,75823,22-04-2023
W003,Chandigarh,P001,95009,95009,22-04-2023
W001,New Delhi,P002,142297,142016,22-04-2023
W002,Lucknow,P002,78757,76864,22-04-2023
W003,Chandigarh,P002,99327,98803,22-04-2023
W001,New Delhi,P003,135126,134322,22-04-2023
W002,Lucknow,P003,76667,74796,22-04-2023
W003,Chandigarh,P003,93472,93191,22-04-2023
W001,New Delhi,P004,135813,135813,22-04-2023
W002,Lucknow,P004,73257,71894,22-04-2023
W003,Chandigarh,P004,99383,98870,22-04-2023
W001,New Delhi,P005,134815,134533,22-04-2023
W002,Lucknow,P005,71213,70730,22-04-2023
W003,Chandigarh,P005,93522,91620,22-04-2023
W001,New Delhi,P006,136994,136791,22-04-2023
W002,Lucknow,P006,74019,73146,22-04-2023
W003,Chandigarh,P006,93944,92837,22-04-2023
W001,New Delhi,P001,134592,134166,23-04-2023
W002,Lucknow,P001,77242,76451,23-04-2023
W003,Chandigarh,P001,96427,95925,23-04-2023
W001,New Delhi,P002,143258,143258,23-04-2023
W002,Lucknow,P002,78105,75921,23-04-2023
W003,Chandigarh,P002,100044,98009,23-04-2023
W001,New Delhi,P003,135559,135559,23-04-2023
W002,Lucknow,P003,76032,75531,23-04-2023
W003,Chandigarh,P003,94427,93212,23-04-2023
W001,New Delhi,P004,137020,137020,23-04-2023
W002,Lucknow,P004,73100,72201,23-04-2023
W003,Chandigarh,P004,100076,99324,23-04-2023
W001,New Delhi,P005,136056,135817,23-04-2023
W002,Lucknow,P005,72253,70790,23-04-2023
W003,Chandigarh,P005,93143,92942,23-04-2023
W001,New Delhi,P006,138328,138029,23-04-2023
W002,Lucknow,P006,74683,73434,23-04-2023
W003,Chandigarh,P006,94374,93836,23_04_2023
W001,New Delhi,P001,135586,135586,24-04-2023
W002,Lucknow,P001,77870,76696,24-04-2023
W003,Chandigarh,P001,97344,96261,24-04-2023
W001,New Delhi,P002,144656,144389,24-04-2023
W002,Lucknow,P002,77319,76071,24-04-2023
W003,Chandigarh,P002,99407,98872,24-04-2023
W001,New Delhi,P003,136996,136996,24-04-2023
W002,Lucknow,P003,76968,75663,24-04-2023
W003,Chandigarh,P003,94649,93923,24-04-2023
W001,New Delhi,P004,138534,138534,24-04-2023
W002,Lucknow,P004,73714,73470,24-04-2023
W003,Chandigarh,P004,100837,99350,24-04-2023
W001,New Delhi,P005,136820,136820,24-04-2023
W002,Lucknow,P005,71793,70806,24-04-2023
W003,Chandigarh,P005,93945,91889,24-04-2023
W001,New Delhi,P006,139520,139520,24-04-2023
W002,Lucknow,P006,74925,73712,24_04_2023
W003,Chandigarh,P006,95326,94540,24-04-2023
W001,New Delhi,P001,136950,136723,25-04-2023
W002,Lucknow,P001,78059,77293,25-04-2023
W003,Chandigarh,P001,97624,95764,25-04-2023
W001,New Delhi,P002,145834,145834,25-04-2023
W002,Lucknow,P002,77516,76029,25-04-2023
W003,Chandigarh,P002,100316,99098,25-04-2023
W001,New Delhi,P003,138532,138248,25-04-2023
W002,Lucknow,P003,77198,75838,25-04-2023
W003,Chandigarh,P003,95458,95171,25-04-2023
W001,New Delhi,P004,139949,139401,25-04-2023
W002,Lucknow,P004,74884,74417,25-04-2023
W003,Chandigarh,P004,100764,100284,25-04-2023
W001,New Delhi,P005,137883,137883,25-04-2023
W002,Lucknow,P005,71868,70949,25-04-2023
W003,Chandigarh,P005,92951,92659,25-04-2023
W001,New Delhi,P006,141031,141031,25-04-2023
W002,Lucknow,P006,75222,74956,25-04-2023
W003,Chandigarh,P006,96050,95543,25-04-2023
W001,New Delhi,P001,137828,137828,26-04-2023
W002,Lucknow,P001,78398,77385,26-04-2023
W003,Chandigarh,P001,96868,96603,26-04-2023
W001,New Delhi,P002,147025,146819,26-04-2023
W002,Lucknow,P002,77220,76425,26-04-2023
W003,Chandigarh,P002,100289,100057,26-04-2023
W001,New Delhi,P003,139423,139203,26-04-2023
W002,Lucknow,P003,77013,75924,26-04-2023
W003,Chandigarh,P003,96346,95265,26-04-2023
W001,New Delhi,P004,140435,140435,26-04-2023
W002,Lucknow,P004,75451,74377,26-04-2023
W003,Chandigarh,P004,101317,100566,26-04-2023
W001,New Delhi,P005,139141,139141,26-04-2023
W002,Lucknow,P005,72207,71630,26-04-2023
W003,Chandigarh,P005,93916,92511,26-04-2023
W001,New Delhi,P006,142102,142102,26-04-2023
W002,Lucknow,P006,76026,74945,26-04-2023
W003,Chandigarh,P006,96613,95095,26-04-2023
W001,New Delhi,P001,138854,138653,27-04-2023
W002,Lucknow,P001,78411,77643,27-04-2023
W003,Chandigarh,P001,97629,96649,27-04-2023
W001,New Delhi,P002,147849,147554,27-04-2023
W002,Lucknow,P002,77455,76440,27-04-2023
W003,Chandigarh,P002,101086,100417,27-04-2023
W001,New Delhi,P003,140468,140468,27-04-2023
W002,Lucknow,P003,77188,76246,27-04-2023
W003,Chandigarh,P003,96529,95806,27-04-2023
W001,New Delhi,P004,141974,141276,27-04-2023
W002,Lucknow,P004,75916,74018,27-04-2023
W003,Chandigarh,P004,102104,100654,27-04-2023
W001,New Delhi,P005,140170,140170,27-04-2023
W002,Lucknow,P005,72658,71602,27-04-2023
W003,Chandigarh,P005,93539,92544,27-04-2023
W001,New Delhi,P006,143499,143206,27-04-2023
W002,Lucknow,P006,76342,75606,27-04-2023
W003,Chandigarh,P006,96491,95420,27-04-2023
W001,New Delhi,P001,139919,139695,28-04-2023
W002,Lucknow,P001,78909,77452,28-04-2023
W003,Chandigarh,P001,97914,97701,28-04-2023
W001,New Delhi,P002,148847,148847,28-04-2023
W002,Lucknow,P002,77733,76475,28-04-2023
W003,Chandigarh,P002,101710,101238,28-04-2023
W001,New Delhi,P003,141895,141652,28-04-2023
W002,Lucknow,P003,77673,76542,28-04-2023
W003,Chandigarh,P003,97232,96049,28-04-2023
W001,New Delhi,P004,142304,142304,28-04-2023
W002,Lucknow,P004,75045,72943,28-04-2023
W003,Chandigarh,P004,101681,100132,28-04-2023
W001,New Delhi,P005,141359,140942,28-04-2023
W002,Lucknow,P005,72791,72082,28-04-2023
W003,Chandigarh,P005,93732,92837,28-04-2023
W001,New Delhi,P006,144253,144042,28-04-2023
W002,Lucknow,P006,76653,76167,28-04-2023
W003,Chandigarh,P006,96466,96006,28-04-2023
W001,New Delhi,P001,140986,140986,29-04-2023
W002,Lucknow,P001,78743,77733,29-04-2023
W003,Chandigarh,P001,98991,98012,29-04-2023
W001,New Delhi,P002,150441,150188,29-04-2023
W002,Lucknow,P002,78069,76913,29-04-2023
W003,Chandigarh,P002,102832,102592,29-04-2023
W001,New Delhi,P003,142870,142870,29-04-2023
W002,Lucknow,P003,77760,75773,29-04-2023
W003,Chandigarh,P003,97267,96728,29-04-2023
W001,New Delhi,P004,143777,143213,29-04-2023
W002,Lucknow,P004,74415,73429,29-04-2023
W003,Chandigarh,P004,101604,101332,29-04-2023
W001,New Delhi,P005,142298,142298,29-04-2023
W002,Lucknow,P005,73438,71765,29-04-2023
W003,Chandigarh,P005,94193,93701,29-04-2023
W001,New Delhi,P006,145473,145473,29-04-2023
W002,Lucknow,P006,77598,76888,29-04-2023
W003,Chandigarh,P006,97436,96611,29-04-2023
W001,New Delhi,P001,142381,141714,30-04-2023
W002,Lucknow,P001,79127,78895,30-04-2023
W003,Chandigarh,P001,99406,98156,30-04-2023
W001,New Delhi,P002,151336,151116,30-04-2023
W002,Lucknow,P002,78061,77067,30-04-2023
W003,Chandigarh,P002,103739,102459,30-04-2023
W001,New Delhi,P003,144359,144073,30-04-2023
W002,Lucknow,P003,77261,75897,30-04-2023
W003,Chandigarh,P003,98216,98216,30-04-2023
W001,New Delhi,P004,144553,143801,30-04-2023
W002,Lucknow,P004,74769,73537,30-04-2023
W003,Chandigarh,P004,102672,100618,30-04-2023
W001,New Delhi,P005,143387,143387,30-04-2023
W002,Lucknow,P005,72853,71601,30-04-2023
W003,Chandigarh,P005,94789,94015,30-04-2023
W001,New Delhi,P006,146771,146771,30-04-2023
W002,Lucknow,P006,78185,75711,30-04-2023
W003,Chandigarh,P006,97908,97331,30-04-2023
W001,New Delhi,P001,142731,142483,01-05-2023
W002,Lucknow,P001,79912,78338,01-05-2023
W003,Chandigarh,P001,99172,98105,01-05-2023
W001,New Delhi,P002,152336,152121,01-05-2023
W002,Lucknow,P002,78287,77273,01-05-2023
W003,Chandigarh,P002,103678,103386,01-05-2023
W001,New Delhi,P003,145416,145197,01-05-2023
W002,Lucknow,P003,77240,75567,01-05-2023
W003,Chandigarh,P003,99558,98632,01-05-2023
