Order_ID,Product_ID,Customer_ID,Quantity_Ordered,Order_Date,Warehouse_ID,Total_Cost,Total_COGs
O124697,P005,C1542,223,01-04-2024,W009,278750,214637.5
O124698,P001,C1715,263,01-04-2024,W012,131500,99940
O124699,P001,C0785,227,01-04-2024,W015,113500,86260
O124700,P004,C0358,270,01-04-2024,W014,405000,324000
O124701,P005,C1736,214,01-04-2024,W013,267500,205975
O124702,P006,C0212,252,01-04-2024,W006,315000,239400
O124703,P003,C0428,290,01-04-2024,W013,145000,87000
O124704,P002,C0424,210,01-04-2024,W014,105000,73500
O124705,P001,C1249,273,01-04-2024,W015,136500,103740
O124706,P001,C0477,228,01-04-2024,W015,114000,86640
O124707,P006,C0052,234,01-04-2024,W015,292500,222300
O124708,P005,C0312,261,01-04-2024,W003,326250,251212.5
O124709,P005,C1461,237,01-04-2024,W010,296250,228112.5
O124710,P006,C0475,293,01-04-2024,W006,366250,278350
O124711,P002,C0486,226,01-04-2024,W004,113000,79100
O124712,P001,C0550,213,01-04-2024,W004,106500,80940
O124713,P002,C1510,228,01-04-2024,W010,114000,79800
O124714,P001,C1903,216,01-04-2024,W006,108000,82080
O124715,P002,C1934,237,01-04-2024,W004,118500,82950
O124716,P003,C0700,300,01-04-2024,W010,150000,90000
O124717,P004,C1500,297,01-04-2024,W010,445500,356400
O124718,P005,C0660,202,01-04-2024,W015,252500,194425
O124719,P004,C1116,272,01-04-2024,W003,408000,326400
O124720,P002,C1798,256,01-04-2024,W015,128000,89600
O124721,P006,C1032,295,01-04-2024,W008,368750,280250
O124722,P006,C0072,237,01-04-2024,W006,296250,225150
O124723,P001,C0472,230,01-04-2024,W001,115000,87400
O124724,P004,C1479,223,01-04-2024,W015,334500,267600
O124725,P003,C1170,268,01-04-2024,W004,134000,80400
O124726,P006,C0874,216,01-04-2024,W003,270000,205200
O124727,P005,C0286,229,01-04-2024,W002,286250,220412.5
O124728,P004,C1908,240,01-04-2024,W005,360000,288000
O124729,P002,C0821,203,01-04-2024,W001,101500,71050
O124730,P003,C1011,217,01-04-2024,W015,108500,65100
O124731,P006,C0707,205,01-04-2024,W009,256250,194750
O124732,P001,C0258,203,01-04-2024,W006,101500,77140
O124733,P001,C0468,267,01-04-2024,W008,133500,101460
O124734,P005,C0625,214,01-04-2024,W015,267500,205975
O124735,P003,C0236,218,01-04-2024,W001,109000,65400
O124736,P005,C1575,243,01-04-2024,W009,303750,233887.5
O124737,P003,C0950,200,01-04-2024,W009,100000,60000
O124738,P004,C1711,272,01-04-2024,W003,408000,326400
O124739,P005,C1334,238,01-04-2024,W010,297500,229075
O124740,P001,C1336,215,01-04-2024,W012,107500,81700
O124741,P004,C1846,200,01-04-2024,W005,300000,240000
O124742,P002,C1550,271,01-04-2024,W012,135500,94850
O124743,P001,C0081,229,01-04-2024,W004,114500,87020
O124744,P001,C0041,200,01-04-2024,W002,100000,76000
O124745,P003,C1975,270,01-04-2024,W004,135000,81000
O124746,P001,C1059,268,01-04-2024,W015,134000,101840
O124747,P001,C1041,298,01-04-2024,W003,149000,113240
O124748,P005,C1359,228,01-04-2024,W015,285000,219450
O124749,P001,C0859,274,01-04-2024,W015,137000,104120
O124750,P006,C1112,229,01-04-2024,W013,286250,217550
O124751,P006,C0572,298,01-04-2024,W002,372500,283100
O124752,P001,C0883,295,01-04-2024,W013,147500,112100
O124753,P002,C1468,286,01-04-2024,W004,143000,100100
O124754,P005,C1993,210,01-04-2024,W010,262500,202125
O124755,P005,C0758,291,01-04-2024,W012,363750,280087.5
O124756,P004,C0351,225,01-04-2024,W002,337500,270000
O124757,P003,C1306,245,01-04-2024,W010,122500,73500
O124758,P003,C1854,243,01-04-2024,W008,121500,72900
O124759,P002,C0882,300,01-04-2024,W012,150000,105000
O124760,P001,C1165,229,01-04-2024,W013,114500,87020
O124761,P003,C1117,221,01-04-2024,W011,110500,66300
O124762,P004,C1331,284,02-04-2024,W004,426000,340800
O124763,P005,C1846,247,02-04-2024,W005,308750,237737.5
O124764,P001,C0322,272,02-04-2024,W009,136000,103360
O124765,P002,C1057,272,02-04-2024,W002,136000,95200
O124766,P004,C0085,293,02-04-2024,W009,439500,351600
O124767,P004,C0127,222,02-04-2024,W002,333000,266400
O124768,P001,C0513,263,02-04-2024,W004,131500,99940
O124769,P001,C1707,231,02-04-2024,W005,115500,87780
O124770,P003,C0253,249,02-04-2024,W010,124500,74700
O124771,P004,C0447,295,02-04-2024,W013,442500,354000
O124772,P001,C0665,230,02-04-2024,W010,115000,87400
O124773,P006,C1828,201,02-04-2024,W010,251250,190950
O124774,P005,C1009,259,02-04-2024,W010,323750,249287.5
O124775,P006,C1651,254,02-04-2024,W015,317500,241300
O124776,P002,C0557,290,02-04-2024,W002,145000,101500
O124777,P003,C0593,202,02-04-2024,W009,101000,60600
O124778,P005,C0977,217,02-04-2024,W012,271250,208862.5
O124779,P004,C1753,224,02-04-2024,W012,336000,268800
O124780,P006,C0176,285,02-04-2024,W004,356250,270750
O124781,P001,C1548,203,02-04-2024,W002,101500,77140
O124782,P003,C0790,275,02-04-2024,W002,137500,82500
O124783,P005,C1520,297,02-04-2024,W006,371250,285862.5
O124784,P005,C0256,256,02-04-2024,W005,320000,246400
O124785,P002,C0649,277,02-04-2024,W007,138500,96950
O124786,P001,C0546,247,02-04-2024,W015,123500,93860
O124787,P002,C1505,261,02-04-2024,W005,130500,91350
O124788,P006,C0583,237,02-04-2024,W007,296250,225150
O124789,P006,C0383,287,02-04-2024,W012,358750,272650
O124790,P001,C0687,236,02-04-2024,W010,118000,89680
O124791,P006,C1526,205,02-04-2024,W012,256250,194750
O124792,P006,C1627,200,02-04-2024,W006,250000,190000
O124793,P005,C0606,297,02-04-2024,W004,371250,285862.5
O124794,P001,C1318,279,02-04-2024,W013,139500,106020
O124795,P003,C1171,205,02-04-2024,W013,102500,61500
O124796,P003,C1986,261,02-04-2024,W014,130500,78300
O124797,P005,C1427,262,02-04-2024,W015,327500,252175
O124798,P004,C1814,288,02-04-2024,W009,432000,345600
O124799,P005,C1283,259,02-04-2024,W014,323750,249287.5
O124800,P003,C1734,282,02-04-2024,W015,141000,84600
O124801,P002,C1099,261,02-04-2024,W006,130500,91350
O124802,P005,C1069,286,02-04-2024,W004,357500,275275
O124803,P002,C1312,211,02-04-2024,W001,105500,73850
O124804,P003,C0467,200,02-04-2024,W007,100000,60000
O124805,P002,C1253,289,02-04-2024,W006,144500,101150
O124806,P003,C0399,294,02-04-2024,W005,147000,88200
O124807,P001,C1873,253,02-04-2024,W002,126500,96140
O124808,P006,C1788,210,02-04-2024,W004,262500,199500
O124809,P006,C0772,206,02-04-2024,W004,257500,195700
O124810,P001,C0587,254,02-04-2024,W015,127000,96520
O124811,P003,C0753,284,02-04-2024,W015,142000,85200
O124812,P003,C0553,264,02-04-2024,W002,132000,79200
O124813,P004,C0038,219,02-04-2024,W002,328500,262800
O124814,P002,C1754,281,02-04-2024,W006,140500,98350
O124815,P006,C1562,224,02-04-2024,W012,280000,212800
O124816,P001,C0314,273,02-04-2024,W008,136500,103740
O124817,P002,C0956,258,02-04-2024,W001,129000,90300
O124818,P002,C0628,238,02-04-2024,W004,119000,83300
O124819,P002,C0586,203,02-04-2024,W012,101500,71050
O124820,P006,C1910,228,02-04-2024,W004,285000,216600
O124821,P001,C0186,223,02-04-2024,W004,111500,84740
O124822,P006,C1602,274,02-04-2024,W015,342500,260300
O124823,P004,C0733,279,02-04-2024,W015,418500,334800
O124824,P006,C0609,255,02-04-2024,W007,318750,242250
O124825,P002,C0783,297,02-04-2024,W004,148500,103950
O124826,P002,C0091,262,02-04-2024,W006,131000,91700
O124827,P006,C0046,277,02-04-2024,W006,346250,263150
O124828,P004,C0423,209,02-04-2024,W006,313500,250800
O124829,P003,C1787,290,02-04-2024,W003,145000,87000
O124830,P001,C1844,260,02-04-2024,W004,130000,98800
O124831,P006,C1540,253,02-04-2024,W001,316250,240350
O124832,P006,C0735,233,02-04-2024,W005,291250,221350
O124833,P002,C1567,235,02-04-2024,W015,117500,82250
O124834,P005,C0379,263,02-04-2024,W012,328750,253137.5
O124835,P006,C1902,257,02-04-2024,W015,321250,244150
O124836,P004,C1752,215,02-04-2024,W013,322500,258000
O124837,P001,C1990,209,02-04-2024,W011,104500,79420
O124838,P006,C1929,239,02-04-2024,W004,298750,227050
O124839,P002,C0085,297,02-04-2024,W009,148500,103950
O124840,P003,C0468,224,02-04-2024,W008,112000,67200
O124841,P005,C0267,259,02-04-2024,W012,323750,249287.5
O124842,P005,C1857,270,02-04-2024,W015,337500,259875
O124843,P002,C0933,280,02-04-2024,W014,140000,98000
O124844,P002,C1919,209,02-04-2024,W015,104500,73150
O124845,P001,C1664,291,02-04-2024,W015,145500,110580
O124846,P005,C1008,201,02-04-2024,W012,251250,193462.5
O124847,P001,C1360,295,02-04-2024,W015,147500,112100
O124848,P001,C1539,277,02-04-2024,W002,138500,105260
O124849,P002,C0628,274,02-04-2024,W004,137000,95900
O124850,P001,C0533,230,02-04-2024,W006,115000,87400
O124851,P001,C0006,228,02-04-2024,W001,114000,86640
O124852,P003,C0747,296,02-04-2024,W004,148000,88800
O124853,P001,C0112,222,02-04-2024,W004,111000,84360
O124854,P003,C1117,289,02-04-2024,W011,144500,86700
O124855,P002,C0996,271,02-04-2024,W008,135500,94850
O124856,P002,C0326,254,02-04-2024,W008,127000,88900
O124857,P005,C1183,242,02-04-2024,W012,302500,232925
O124858,P003,C1473,275,02-04-2024,W010,137500,82500
O124859,P005,C0063,245,02-04-2024,W005,306250,235812.5
O124860,P001,C1848,259,02-04-2024,W010,129500,98420
O124861,P001,C1263,268,02-04-2024,W003,134000,101840
O124862,P002,C1996,294,02-04-2024,W003,147000,102900
O124863,P001,C1797,291,02-04-2024,W002,145500,110580
O124864,P006,C0866,230,02-04-2024,W015,287500,218500
O124865,P002,C1621,250,02-04-2024,W014,125000,87500
O124866,P005,C0346,234,02-04-2024,W002,292500,225225
O124867,P005,C0751,259,02-04-2024,W004,323750,249287.5
O124868,P005,C0411,259,02-04-2024,W006,323750,249287.5
O124869,P003,C1845,286,02-04-2024,W014,143000,85800
O124870,P003,C1328,252,02-04-2024,W005,126000,75600
O124871,P001,C0956,250,02-04-2024,W001,125000,95000
O124872,P002,C1107,297,02-04-2024,W005,148500,103950
O124873,P001,C0795,230,02-04-2024,W002,115000,87400
O124874,P004,C1533,268,02-04-2024,W002,402000,321600
O124875,P006,C0372,254,02-04-2024,W004,317500,241300
O124876,P006,C1104,296,02-04-2024,W003,370000,281200
O124877,P002,C0113,280,02-04-2024,W003,140000,98000
O124878,P006,C1889,270,02-04-2024,W013,337500,256500
O124879,P002,C1330,230,02-04-2024,W014,115000,80500
O124880,P003,C1318,272,02-04-2024,W013,136000,81600
O124881,P001,C0049,236,02-04-2024,W010,118000,89680
O124882,P006,C1496,238,02-04-2024,W003,297500,226100
O124883,P006,C0474,212,02-04-2024,W007,265000,201400
O124884,P002,C1293,243,02-04-2024,W012,121500,85050
O124885,P002,C0844,205,02-04-2024,W013,102500,71750
O124886,P004,C1574,265,02-04-2024,W013,397500,318000
O124887,P001,C0736,299,02-04-2024,W007,149500,113620
O124888,P005,C0719,253,02-04-2024,W015,316250,243512.5
O124889,P004,C1634,207,02-04-2024,W012,310500,248400
O124890,P002,C0307,252,02-04-2024,W014,126000,88200
O124891,P002,C1192,225,02-04-2024,W005,112500,78750
O124892,P006,C0825,248,02-04-2024,W006,310000,235600
O124893,P005,C1798,288,02-04-2024,W015,360000,277200
O124894,P005,C1651,263,02-04-2024,W015,328750,253137.5
O124895,P004,C0693,278,02-04-2024,W012,417000,333600
O124896,P004,C1046,277,02-04-2024,W015,415500,332400
O124897,P002,C0292,263,02-04-2024,W006,131500,92050
O124898,P005,C1383,262,02-04-2024,W005,327500,252175
O124899,P002,C1728,280,02-04-2024,W010,140000,98000
O124900,P001,C0847,230,02-04-2024,W002,115000,87400
O124901,P004,C1883,254,02-04-2024,W003,381000,304800
O124902,P001,C0569,270,02-04-2024,W004,135000,102600
O124903,P003,C1321,216,02-04-2024,W013,108000,64800
O124904,P005,C0167,259,02-04-2024,W005,323750,249287.5
O124905,P006,C1700,240,02-04-2024,W014,300000,228000
O124906,P005,C1984,216,02-04-2024,W004,270000,207900
O124907,P005,C1780,250,02-04-2024,W002,312500,240625
O124908,P001,C0312,241,02-04-2024,W003,120500,91580
O124909,P004,C0058,265,02-04-2024,W014,397500,318000
O124910,P006,C0637,266,02-04-2024,W015,332500,252700
O124911,P004,C1138,233,02-04-2024,W010,349500,279600
O124912,P005,C0380,267,02-04-2024,W014,333750,256987.5
O124913,P005,C1592,283,02-04-2024,W014,353750,272387.5
O124914,P004,C1779,259,02-04-2024,W004,388500,310800
O124915,P001,C1066,249,02-04-2024,W010,124500,94620
O124916,P006,C0081,236,02-04-2024,W004,295000,224200
O124917,P004,C1210,226,02-04-2024,W013,339000,271200
O124918,P004,C0399,233,02-04-2024,W005,349500,279600
O124919,P005,C0543,270,02-04-2024,W014,337500,259875
O124920,P003,C0826,202,02-04-2024,W010,101000,60600
O124921,P004,C0387,231,02-04-2024,W015,346500,277200
O124922,P006,C1756,285,02-04-2024,W002,356250,270750
O124923,P003,C1142,268,02-04-2024,W003,134000,80400
O124924,P003,C1907,281,02-04-2024,W013,140500,84300
O124925,P004,C1247,229,02-04-2024,W002,343500,274800
O124926,P006,C1176,261,02-04-2024,W015,326250,247950
O124927,P003,C1883,244,02-04-2024,W003,122000,73200
O124928,P001,C0179,294,02-04-2024,W013,147000,111720
O124929,P004,C0806,233,02-04-2024,W015,349500,279600
O124930,P005,C1321,253,02-04-2024,W013,316250,243512.5
O124931,P006,C1526,207,02-04-2024,W012,258750,196650
O124932,P003,C0286,271,02-04-2024,W002,135500,81300
O124933,P002,C1408,232,02-04-2024,W014,116000,81200
O124934,P002,C1351,269,02-04-2024,W014,134500,94150
O124935,P005,C1325,287,02-04-2024,W003,358750,276237.5
O124936,P001,C1000,242,02-04-2024,W001,121000,91960
O124937,P004,C1978,246,02-04-2024,W006,369000,295200
O124938,P004,C0756,206,02-04-2024,W009,309000,247200
O124939,P005,C1396,203,02-04-2024,W003,253750,195387.5
O124940,P003,C0018,291,02-04-2024,W013,145500,87300
O124941,P002,C1183,237,02-04-2024,W012,118500,82950
O124942,P001,C0774,256,02-04-2024,W014,128000,97280
O124943,P005,C1155,241,02-04-2024,W014,301250,231962.5
O124944,P006,C1699,217,02-04-2024,W012,271250,206150
O124945,P005,C0752,209,02-04-2024,W012,261250,201162.5
O124946,P002,C0987,292,02-04-2024,W012,146000,102200
O124947,P002,C0969,287,02-04-2024,W010,143500,100450
O124948,P001,C0068,202,02-04-2024,W010,101000,76760
O124949,P005,C1993,204,02-04-2024,W010,255000,196350
O124950,P001,C0741,295,02-04-2024,W015,147500,112100
O124951,P004,C0589,287,02-04-2024,W005,430500,344400
O124952,P004,C0689,296,02-04-2024,W010,444000,355200
O124953,P003,C1531,289,02-04-2024,W013,144500,86700
O124954,P006,C1548,289,02-04-2024,W002,361250,274550
O124955,P002,C1000,212,02-04-2024,W001,106000,74200
O124956,P004,C1718,230,02-04-2024,W013,345000,276000
O124957,P001,C1881,232,02-04-2024,W010,116000,88160
O124958,P004,C0796,265,02-04-2024,W012,397500,318000
O124959,P002,C1730,261,02-04-2024,W003,130500,91350
O124960,P005,C0688,245,02-04-2024,W003,306250,235812.5
O124961,P002,C0581,264,02-04-2024,W004,132000,92400
O124962,P004,C0891,289,02-04-2024,W005,433500,346800
O124963,P006,C1603,241,02-04-2024,W008,301250,228950
O124964,P003,C0417,262,02-04-2024,W005,131000,78600
